"predictor","libsize","direction","rho","ci_lower","ci_upper","p_value","n_nominal","n_eff_clifford","is_pred_to_lst"
"distance_to_water",40,"LST->distance_to_water",0.175127185294148,0.13231187701469,0.21729020099021,3.10862446895044e-15,2000,53.6393197401312,FALSE
"distance_to_water",50,"LST->distance_to_water",0.223113055869515,0.181052683282728,0.264358757255558,0,2000,53.6393197401312,FALSE
"distance_to_water",60,"LST->distance_to_water",0.27812740510138,0.237187931761177,0.31808074780826,0,2000,53.6393197401312,FALSE
"distance_to_water",70,"LST->distance_to_water",0.318084289328205,0.278131040478701,0.356938805747353,0,2000,53.6393197401312,FALSE
"distance_to_water",80,"LST->distance_to_water",0.358655403765447,0.319852618527699,0.396257095283222,0,2000,53.6393197401312,FALSE
"distance_to_water",90,"LST->distance_to_water",0.396643200944936,0.359054517779195,0.432947241273306,0,2000,53.6393197401312,FALSE
"distance_to_water",100,"LST->distance_to_water",0.419096385294319,0.38228784543238,0.454577017491981,0,2000,53.6393197401312,FALSE
"distance_to_water",110,"LST->distance_to_water",0.436202058791059,0.400019149494292,0.471027352103916,0,2000,53.6393197401312,FALSE
"distance_to_water",120,"LST->distance_to_water",0.447773629009384,0.412029322193082,0.482141883162288,0,2000,53.6393197401312,FALSE
"distance_to_roads",10,"distance_to_roads->LST",0.0588360289310888,0.0150438920504285,0.102402881129239,0.00849182780290647,2000,567.23398051302,TRUE
"distance_to_roads",20,"distance_to_roads->LST",0.0955862535397168,0.0519730690687893,0.138835516093643,1.85319310810339e-05,2000,567.23398051302,TRUE
"distance_to_roads",30,"distance_to_roads->LST",0.130000696611597,0.0866635775219927,0.172846739581521,5.38067590483138e-09,2000,567.23398051302,TRUE
"distance_to_roads",40,"distance_to_roads->LST",0.164022706770701,0.121062122196035,0.206369990201668,1.57429624891847e-13,2000,567.23398051302,TRUE
"distance_to_roads",50,"distance_to_roads->LST",0.187690895569092,0.145053267859733,0.229632716320825,0,2000,567.23398051302,TRUE
"distance_to_roads",60,"distance_to_roads->LST",0.203782383660243,0.16139300884375,0.245421220845663,0,2000,567.23398051302,TRUE
"distance_to_roads",70,"distance_to_roads->LST",0.217124117727526,0.174958219169553,0.258495017246958,0,2000,567.23398051302,TRUE
"distance_to_roads",80,"distance_to_roads->LST",0.231783346873897,0.189881473337052,0.272842397134899,0,2000,567.23398051302,TRUE
"distance_to_roads",90,"distance_to_roads->LST",0.246386826097085,0.204767249596781,0.287117076806848,0,2000,567.23398051302,TRUE
"distance_to_roads",100,"distance_to_roads->LST",0.252436578456239,0.210939593414906,0.293025323420637,0,2000,567.23398051302,TRUE
"distance_to_roads",110,"distance_to_roads->LST",0.254421283018931,0.212965236927549,0.294962930022099,0,2000,567.23398051302,TRUE
"distance_to_roads",120,"distance_to_roads->LST",0.251762908199792,0.210252108218184,0.292367563876044,0,2000,567.23398051302,TRUE
"distance_to_roads",10,"LST->distance_to_roads",0.0115841069304469,-0.0322632071031114,0.0553869172960851,0.604632356728649,2000,567.23398051302,FALSE
"distance_to_roads",20,"LST->distance_to_roads",0.0213765655849894,-0.0224754255144325,0.0651464589386392,0.33932460948608,2000,567.23398051302,FALSE
"distance_to_roads",30,"LST->distance_to_roads",0.0337807103282741,-0.0100651251404695,0.0774968979597216,0.130990913975913,2000,567.23398051302,FALSE
"distance_to_roads",40,"LST->distance_to_roads",0.0489825510394211,0.00516270246664027,0.0926146445867787,0.0284871491805951,2000,567.23398051302,FALSE
"distance_to_roads",50,"LST->distance_to_roads",0.0647513991134587,0.0209800101369536,0.108275034839633,0.00376748953450745,2000,567.23398051302,FALSE
"distance_to_roads",60,"LST->distance_to_roads",0.0831736674039958,0.0394866866143622,0.126543276481797,0.000196271707223916,2000,567.23398051302,FALSE
"distance_to_roads",70,"LST->distance_to_roads",0.104554889260084,0.0610035197856952,0.14770891061835,2.78921562779644e-06,2000,567.23398051302,FALSE
"distance_to_roads",80,"LST->distance_to_roads",0.121740338382652,0.0783273599520301,0.164692473210499,4.7262358249256e-08,2000,567.23398051302,FALSE
"distance_to_roads",90,"LST->distance_to_roads",0.138950054587592,0.0957019766980716,0.18167453291671,4.36329639086352e-10,2000,567.23398051302,FALSE
"distance_to_roads",100,"LST->distance_to_roads",0.153454640868925,0.110366036816078,0.195967484446574,5.22559773230569e-12,2000,567.23398051302,FALSE
